ModelType,FeatureSet,Accuracy,FNR,FPR,Precision,Recall,F1score,ConfusionMatrix
XGB_Default,zncc_50,0.5710382513661202,0.5578231292517006,0.3424657534246575,0.4642857142857143,0.4421768707482993,0.4529616724738676,"[[144, 75], [82, 65]]"
XGB_Grid,zncc_50,0.6092896174863388,0.8707482993197279,0.0684931506849315,0.5588235294117647,0.1292517006802721,0.20994475138121546,"[[204, 15], [128, 19]]"
XGB_Default,zncc_90,0.5136612021857924,0.6326530612244898,0.3881278538812785,0.38848920863309355,0.3673469387755102,0.3776223776223776,"[[134, 85], [93, 54]]"
XGB_Grid,zncc_90,0.6284153005464481,0.7891156462585034,0.091324200913242,0.6078431372549019,0.2108843537414966,0.31313131313131315,"[[199, 20], [116, 31]]"
XGB_Default,centroid_50,0.5601092896174863,0.5986394557823129,0.3333333333333333,0.44696969696969696,0.4013605442176871,0.4229390681003584,"[[146, 73], [88, 59]]"
XGB_Grid,centroid_50,0.5956284153005464,0.673469387755102,0.2237442922374429,0.4948453608247423,0.32653061224489793,0.39344262295081966,"[[170, 49], [99, 48]]"
XGB_Default,centroid_90,0.5382513661202186,0.673469387755102,0.319634703196347,0.4067796610169492,0.32653061224489793,0.3622641509433962,"[[149, 70], [99, 48]]"
XGB_Grid,centroid_90,0.6092896174863388,0.8979591836734694,0.0502283105022831,0.5769230769230769,0.10204081632653061,0.17341040462427745,"[[208, 11], [132, 15]]"
XGB_Default,all,0.5519125683060109,0.6122448979591837,0.3378995433789954,0.4351145038167939,0.3877551020408163,0.41007194244604317,"[[145, 74], [90, 57]]"
XGB_Grid,all,0.6092896174863388,0.7006802721088435,0.182648401826484,0.5238095238095238,0.29931972789115646,0.38095238095238093,"[[179, 40], [103, 44]]"
